parameter_A,parameter_B,evidence_label,interaction_incremental_r2,fold_reproducibility,quality_score,evidence_tier_A,evidence_tier_B,admission_rule
MEASURE_ET_DC_Big_S12dB_10GHz,THIN_ET_C20_0,STRONG,0.142,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_Vg_gm_max,SIN_ET_DC_RF_Vbgs_0p01,STRONG,0.0211,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_DC_RF2_S22ang_26GHz,TOPSIN_ET_CapFICM1,STRONG,0.1595,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,THIN_ET_lkg_C200,STRONG,0.1526,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,TOPSIN_ET_DC_SMALL_Vp_1,STRONG,0.1459,5/5,6.5,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE,G1_composite_quality_topK+G3_multichannel_corroborated
SIN_ET_DC_RF_Vg_gm_max,MEASURE_ET_DC_RF_CF_S11_Ph_L1002,STRONG,0.0501,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_DC_SMALL_Vbin_gd,MEASURE_ET_DC_SEC_Idss,STRONG,0.1557,5/5,6.5,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE,G1_composite_quality_topK+G3_multichannel_corroborated
MEASURE_ET_lkg_C300,MEASURE_ET_C_CAT_2,STRONG,0.0973,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
THIN_ET_lkg_100_at20V,THIN_ET_lkg_C200,STRONG,0.191,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_lkg_5,THIN_ET_Rc_OG142,STRONG,0.1616,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_lkg_100_at20V,SIN_GATE_ET_Rc_an_ct2,STRONG,0.1019,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
MEASURE_ET_DC_Diode_Rs_9p5,FIC_ET_lkg_SY8_80,STRONG,0.1587,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
TOPSIN_ET_Rc_f_tn_23,THIN_ET_DC_RF_Vdg_max,STRONG,0.0113,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_Gm_max,MEASURE_ET_DC_PIV_Drain_Lag_0,STRONG,0.1414,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_DC_RF_Imax,TOPSIN_ET_DC_RF_Vg_max_Vd,STRONG,0.048,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
THIN_ET_Rc_TF_AB_2,TOPSIN_ET_Cap1pf,STRONG,0.175,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,TOPSIN_ET_lkg_CapFICM1,STRONG,0.136,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_R414,TOPSIN_ET_lkg_SY8_80,STRONG,0.0692,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,SIN_ET_TR_1F,STRONG,0.0217,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_lkg_5,THIN_ET_lkg_5,STRONG,0.1436,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,THIN_ET_DC_RF_Vg_max_Vd_0p1mA,STRONG,0.0503,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIC_ET_lkg_SY07_10,MEASURE_ET_C100USV_Cappf,STRONG,0.1398,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_lkg_Cap1,STRONG,0.1732,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_DC_PIV_Drain_Lag_0,OHMIC_ET_lkg_5,STRONG,0.1573,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
SIN_ET_DC_RF_Vbin_gd,TOPSIN_ET_R_f_hr_2,STRONG,0.0495,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_Rc_cat_ct2,BMETAL1_Height_Metal1_metal_thickness,STRONG,0.1659,5/5,6.5,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE,G1_composite_quality_topK+G3_multichannel_corroborated
TOPSIN_ET_Gm_max,SIN_ET_lkg_SY07_10,STRONG,0.1853,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_Rcat_cn_1_OW_ST,TOPSIN_ET_Cap1pf,STRONG,0.1375,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_lkg_Cap_USV,MEASURE_ET_HIRS,STRONG,0.1279,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
MEASURE_ET_lkg_SY07_10,MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_first_FPSD3p2,STRONG,0.1618,5/5,6.5,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE,G1_composite_quality_topK+G3_multichannel_corroborated
TOPSIN_ET_Cap_USV,MEASURE_ET_Rcat_cn_3,STRONG,0.1679,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_lkg_C300,MEASURE_ET_DC_Stress_Vp_after,STRONG,0.1569,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_lkg_SY8_80,MEASURE_ET_lkg_70_at20V,STRONG,0.1414,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_C300pf,SIN_GATE_ET_lkg_5,STRONG,0.1553,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_RF_S11ang_10GHz,MEASURE_ET_DC_PIV_Ids0_QP1,STRONG,0.1963,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
THIN_ET_DC_RF_Vbgs1,SIN_CAPACITOR_ThicknessGN1_SiN_Thickness,STRONG,0.0144,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_Rc_cat_ct2_OW_ST,MEASURE_ET_Cap2pf,STRONG,0.1672,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_Vdg_max,MEASURE_ET_C100C175pf,STRONG,0.0487,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_DC_RF_Vbon_min,TOPSIN_ET_R_f_hr_2,STRONG,0.0479,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
OHMIC_ET_lkg_5,TOPSIN_ET_lkg_5,STRONG,0.137,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
FIC_ET_DC_PIV_Gate_Lag_0,MEASURE_ET_DC_RF2_MAG_26GHz,STRONG,0.0496,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIC_ET_DC_RF_Vbgs_0p01,THIN_ET_Ran_con_3_OW_CR,STRONG,0.0235,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_SEC_Vgs_back_0p5V,TOPSIN_ET_lkg_C300,STRONG,0.1404,5/5,6.5,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE,G1_composite_quality_topK+G3_multichannel_corroborated
MEASURE_ET_DC_RF2_S21ang_26GHz,MEASURE_ET_Rc_cat_ct2_OW_ST,STRONG,0.0487,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_lkg_SY8_80,MEASURE_ET_RF_Modeling_Gm,STRONG,0.0503,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_CapFICM1_0,MEASURE_ET_DC_SMALL_Ids_m0p2,STRONG,0.1394,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_RF_Modeling_Gm_max_W,BRGM_ET_TR_1F,STRONG,0.14,5/5,6.5,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE,G1_composite_quality_topK+G3_multichannel_corroborated
TOPSIN_ET_CapFICM1_0,SIN_GATE_ET_lkg_5,STRONG,0.1988,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_C20_0,THIN_ET_C_AN_2,STRONG,0.1459,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_lkg_C300pf,MEASURE_ET_lkg_CapPARCAP,STRONG,0.1429,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_R514,MEASURE_ET_DC_RF_S11dB_26GHz,STRONG,0.0479,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_DC_Diode_S11_dB_forw,MEASURE_ET_DC_RF2_S11dB_26GHz,STRONG,0.0222,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_sh_f_tn_23,SIN_ET_TR_1F,STRONG,0.0114,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_lkg_100,THIN_ET_lkg_C200,STRONG,0.1653,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_RD_K,MEASURE_ET_DC_RF_Gm_m0p2_W,STRONG,0.0501,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_DC_RF_Vdg_max,MaskSetSupplyChipsCount,STRONG,0.023,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
OHMIC_ET_sh_GA142,MEASURE_ET_C300FM1,STRONG,0.05,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_DC_RF_Vp_01,SIN_ET_lkg_SY07_10,STRONG,0.149,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_DC_SMALL_Vdg_max,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,STRONG,0.0479,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_R414,THIN_ET_DC_RF_Id_gm_max,STRONG,0.0495,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_10,TOPSIN_ET_lkg_C450pf,STRONG,0.1411,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_lkg_Cap2,TOPSIN_ET_lkg_C300pf,STRONG,0.1674,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_C300M1B,MEASURE_ET_DC_SEC_X_Ids_max_norm_SD3p5,STRONG,0.1559,5/5,6.5,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE,G1_composite_quality_topK+G3_multichannel_corroborated
MEASURE_ET_DC_RF_Id_Vbon_min,SIN_ET_DC_RF_Gm_0,STRONG,0.0498,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
THIN_ET_R_f_hr_1,TOPSIN_ET_OHMC,STRONG,0.0132,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
THIN_ET_HIRS,TOPSIN_ET_DC_PIV_Drain_Lag_1,STRONG,0.019,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIC_ET_lkg_5,MEASURE_ET_DC_RF_CF_S22_Ph_L2180,STRONG,0.1544,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vg_gm_max,FIC_ET_DC_PIV_Gate_Lag_0,STRONG,0.0489,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_70_at20V,THIN_ET_DC_RF_Vg_max_Vd_0p1mA,STRONG,0.0141,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_Load_Pull_Gss,MEASURE_ET_lkg_Cap_USV,STRONG,0.0503,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
OHMIC_ET_lkg_5,SIN_GATE_ET_lkg_SY8_80,STRONG,0.1728,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
THIN_ET_C200_0,MEASURE_ET_DC_Stress_Vp_after,STRONG,0.049,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_CapFICM1_0,STRONG,0.1749,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_Cap2pf,FIC_ET_Probe_Number,STRONG,0.0489,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_lkg_70,SIN_ET_lkg_SY8_80,STRONG,0.1475,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
FIC_ET_G_per_25,TOPSIN_ET_lkg_Cap3,STRONG,0.0499,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_lkg_CapPARCAP,FIC_ET_R_f_hr_2,STRONG,0.0223,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_R314,TOPSIN_ET_DC_RF_Vds_max,STRONG,0.049,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_lkg_Cap_USV,MEASURE_ET_lkg_5,STRONG,0.1612,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_Probe_Number,FIC_ET_Gm_max,STRONG,0.0488,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_Cap_USV,MEASURE_ET_Rc_f_tn_23,STRONG,0.1688,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
THIN_ET_TF_AB_1,FIC_ET_DC_RF_Vg_max_Vd_0p1mA,STRONG,0.1404,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_C300,THIN_ET_TF_AB_2,STRONG,0.1481,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_Cap_USV,THIN_ET_C_AN_2,STRONG,0.1441,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_lkg_CapPARCAP,THIN_ET_HIRS,STRONG,0.0486,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_RGAN2,TOPSIN_ET_R_f_hr_3,STRONG,0.1374,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_C100C300pf,TOPSIN_ET_DC_RF_Vp_01,STRONG,0.0477,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
ANODE_ET_Rc_an_ct2,SIN_ET_Probe_Number,STRONG,0.0502,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_DC_PIV_Ids1_QP1,TOPSIN_ET_lkg_SY8_80,STRONG,0.1639,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_Rc_f_tn_23,TOPSIN_ET_CapFICM1_0,STRONG,0.0475,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
CATHODE_ET_Rsh_cat_c2,MEASURE_ET_lkg_100_at20V,STRONG,0.0142,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_Ran_con_1_OW_CR,MEASURE_ET_lkg_C300M1B,STRONG,0.1531,5/5,6.5,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE,G1_composite_quality_topK+G3_multichannel_corroborated
MEASURE_ET_lkg_C300pf,BRGM_ET_Rsh_F_AB_2,STRONG,0.1496,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_lkg_5,FIC_ET_lkg_SY07_10,STRONG,0.1801,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_Rc_f_tn_23,MEASURE_ET_DC_RF_S11dB_26GHz,STRONG,0.0478,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
THIN_ET_DC_RF_Gm_max,TOPSIN_ET_DC_RF_Vds_max,STRONG,0.0479,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_OHMC,MEASURE_ET_DC_RF_Max_S11_Freq_L2180,STRONG,0.0485,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
SIN_GATE_ET_lkg_5,MEASURE_ET_DC_Big_Vg_optt2,STRONG,0.1381,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_Cap_C300,MEASURE_ET_C100CapPARCAP,STRONG,0.0495,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
FIC_ET_lkg_SY8_80,MEASURE_ET_HIRS,STRONG,0.0996,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_DC_Big_Vg_optt2,STRONG,0.1546,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_C300,THIN_ET_C_AN_2,STRONG,0.153,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_Rsh_an_ct2,FIC_ET_DC_RF_Vds_max,STRONG,0.0183,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_C_CAT_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,STRONG,0.06,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G3_multichannel_corroborated
TOPSIN_ET_C300pf,MEASURE_ET_lkg_70_at20V,STRONG,0.1431,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_Rc_f_tn_23,THIN_ET_DC_RF_Vg_optt3,STRONG,0.1356,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
OHMIC_ET_lkg_5,TOPSIN_ET_lkg_Cap2,STRONG,0.14,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
SIN_GATE_ET_lkg_SY8_80,TOPSIN_ET_DC_RF_Vbgs_0p1,STRONG,0.1398,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
SIN_ET_DC_RF_Vt_gd,MEASURE_ET_DC_RF_CF_S22_Ph_L2180,STRONG,0.048,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TFRP_ET_Rsh_TFR2,MEASURE_ET_DC_RD_K,STRONG,0.0496,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_DC_SMALL_Vbgs1,ANODE_ET_Rc_an_ct2,STRONG,0.0485,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
SIN_ET_DC_RF_Vbin_gs,MEASURE_ET_DC_Big_Vg_optt2,STRONG,0.1471,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_lkg_C450pf,THIN_ET_lkg_5,STRONG,0.1622,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
FIC_ET_DC_RF_Vt_gd,MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,STRONG,0.0215,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
THIN_ET_DC_RF_Vg_optt1,MEASURE_ET_DC_Big_Vg_optt2,STRONG,0.1494,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_SMALL_Vg_max_Vd,MEASURE_ET_Rcat_cn_2,STRONG,0.0474,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
OHMIC_ET_Rc_an_ct2,TOPSIN_ET_CapFICM1_0,STRONG,0.1401,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_Vbkdn_Cap100_Long,MEASURE_ET_C100C175pf,STRONG,0.015,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
TOPSIN_ET_lkg_Cap2,SIN_GATE_ET_lkg_5,STRONG,0.17,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_Load_Pull_GL_set,FIN_FIN_Alignment_FIN_to_ohmic_alignment,STRONG,0.1411,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
CATHODE_ET_Rcat_cn_3_OW_ST,MEASURE_ET_C300FM1,STRONG,0.1482,5/5,7.0,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge+G3_multichannel_corroborated
MEASURE_ET_lkg_PAD_10,THIN_ET_TF_AB_2,STRONG,0.1463,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
TOPSIN_ET_lkg_SY8_80,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.0499,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
THIN_ET_C200_0,MEASURE_ET_Rcat_cn_1_OW_ST,STRONG,0.147,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_Load_Pull_Gss,MEASURE_ET_Rc_f_tn_23,STRONG,0.1359,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_LT_SEC_Ileak_m12p5V_mA_mm,STRONG,0.1473,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
BRGM_ET_Rsh_F_AB_2,THIN_ET_R_f_hr_1,STRONG,0.0241,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK
SIN_ET_DC_RF_Vbin_gd,MEASURE_ET_DC_RF_Max_S11_Freq_L1018,STRONG,0.1413,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_Cap3pf,STRONG,0.16,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
MEASURE_ET_DC_RF_CF_S22_Ph_L2180,TOPSIN_ET_lkg_Cap3,STRONG,0.1594,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G1_composite_quality_topK+G2_hub_feature_edge
